No.,Food Item,Category,1 Serving Size,Total Weight (g),Protein (g),Fats (g),Carbohydrates (g),Calories (kcal),Breakfast,Snack 1,Lunch,Snack 2,Dinner,User Preference,Source
1999,Cold-Pressed Special Chickpeas,Protein,1 egg,99.93,12.6,12.54,3.64,177.8,0,0,0,0,0,1.0,Synthetic
2000,Frozen Gourmet Shrimp,Protein,Palm-sized portion,56.81,29.28,13.47,3.66,253.0,0,0,0,0,0,0.75,Synthetic
2001,High-Protein Farm-Fresh Edamame,Protein,1 piece,82.17,17.79,2.97,0.0,97.9,0,0,0,0,1,0.0,Synthetic
2002,Reduced-Fat Bahraini Mackerel Fillet,Protein,1 egg,112.45,19.97,11.83,0.34,187.7,1,0,0,0,0,1.0,Synthetic
2003,Unsalted Special Edamame,Protein,1 egg,68.17,29.27,9.42,1.95,209.7,0,0,1,0,0,0.5,Synthetic
2004,Plain Bahraini Black Beans,Protein,1 medium chicken thigh,79.1,20.21,6.85,0.0,142.5,0,0,1,0,0,0.0,Synthetic
2005,Natural Heritage Edamame,Protein,1 medium chicken thigh,7.3,5.91,1.02,0.0,32.8,1,0,0,0,0,0.0,Synthetic
2006,Pickled Farm-Fresh Mackerel Fillet,Protein,1/2 small chicken breast,95.74,14.99,10.02,0.0,150.1,1,0,0,0,0,0.25,Synthetic
2007,Reduced-Fat Premium Lentils,Protein,1 piece,45.77,30.53,6.68,3.41,195.9,0,0,0,0,1,0.75,Synthetic
2008,Natural Bahraini Edamame,Protein,1 piece,100.56,24.64,2.63,2.12,130.7,1,0,0,0,0,0.25,Synthetic
2009,Pickled Wild Shrimp,Protein,1 egg,84.64,20.18,2.33,0.0,101.7,0,0,0,0,0,1.0,Synthetic
2010,Boiled Garden Turkey Slices,Protein,1 egg,71.51,11.65,5.05,2.68,102.8,1,0,0,0,0,0.75,Synthetic
2011,Smoked Selection Tempeh,Protein,1 piece,76.88,7.48,11.34,0.0,132.0,0,0,0,0,1,0.75,Synthetic
2012,Grilled Bahraini Edamame,Protein,1 egg,71.1,24.75,6.82,2.08,168.7,1,0,0,0,0,0.0,Synthetic
2013,Seasonal Heritage Salmon Fillet,Protein,1 egg,74.2,17.76,2.7,0.0,95.3,0,0,0,0,0,0.5,Synthetic
2014,Premium Heritage Egg Omelette,Protein,1 egg,94.08,5.19,0.5,2.94,37.0,0,0,0,0,1,0.75,Synthetic
2015,Raw Traditional White Beans,Protein,1 medium chicken thigh,24.9,16.88,1.02,0.0,76.7,1,0,0,0,1,0.75,Synthetic
2016,Grilled Bahraini Cod Fillet,Protein,1 piece,66.9,29.68,0.76,0.0,125.6,1,0,0,0,1,0.75,Synthetic
2017,Spiced Traditional Lentils,Protein,Palm-sized portion,90.16,28.49,2.11,0.0,132.9,1,0,1,0,1,0.25,Synthetic
2018,Seasonal Bahraini Tuna Fillet,Protein,1 egg,90.96,6.95,4.24,1.97,73.8,1,0,0,0,1,0.25,Synthetic
2019,Lightly-Salted Blend Shrimp,Protein,1 medium chicken thigh,76.14,10.89,5.56,0.0,93.6,1,0,0,0,0,1.0,Synthetic
2020,Whipped Variety Mackerel Fillet,Protein,1/2 small chicken breast,57.56,7.2,0.5,3.91,48.9,1,0,0,0,1,0.25,Synthetic
2021,Zero-Fat Special Turkey Slices,Protein,1 egg,84.43,14.79,16.11,4.43,221.9,1,0,1,0,1,0.25,Synthetic
2022,Boiled Arabian Beef Strips,Protein,1 medium chicken thigh,77.53,24.12,8.6,0.0,173.9,0,0,0,0,1,0.75,Synthetic
2023,Fresh Original Beef Strips,Protein,1 egg,77.97,12.39,0.5,0.0,54.1,0,0,0,0,1,0.25,Synthetic
2024,Reduced-Fat Variety Shrimp,Protein,Palm-sized portion,65.43,27.14,7.62,0.0,177.1,0,0,0,0,1,0.5,Synthetic
2025,Low-Fat Mix Cod Fillet,Protein,Palm-sized portion,127.62,18.76,10.64,0.0,170.8,0,0,0,0,0,0.0,Synthetic
2026,Reduced-Fat Garden Chickpeas,Protein,1 egg,92.36,22.82,1.37,3.66,118.2,1,0,0,0,0,0.75,Synthetic
2027,Premium Medley Salmon Fillet,Protein,1 piece,121.14,17.67,0.5,3.29,88.3,0,0,0,0,1,0.0,Synthetic
2028,Cold-Pressed Original Chickpeas,Protein,1 medium chicken thigh,94.71,24.97,1.15,0.0,110.2,0,0,0,0,0,0.25,Synthetic
2029,Enriched Blend Chickpeas,Protein,1/2 small chicken breast,74.26,17.01,4.64,1.13,114.3,1,0,1,0,0,0.75,Synthetic
2030,Grilled Classic Tofu,Protein,1 medium chicken thigh,109.84,19.54,0.86,0.0,85.9,0,0,0,0,0,1.0,Synthetic
2031,Smoked Original Sardines,Protein,1 piece,92.8,11.59,9.08,0.78,131.2,1,0,0,0,0,0.25,Synthetic
2032,High-Protein Mix White Beans,Protein,1 piece,85.03,28.03,10.18,3.16,216.4,1,0,0,0,1,0.0,Synthetic
2033,Raw Gourmet Beef Steak,Protein,1 medium chicken thigh,83.58,26.35,1.15,1.75,122.8,1,0,0,0,0,0.0,Synthetic
2034,Sun-Dried Special Beef Strips,Protein,Palm-sized portion,122.27,1.2,0.5,3.17,22.0,1,0,0,0,1,0.75,Synthetic
2035,Frozen Traditional Sardines,Protein,1 piece,57.36,23.2,10.14,2.86,195.5,0,0,0,0,0,1.0,Synthetic
2036,Unsalted Wild Lamb Chop,Protein,1/2 small chicken breast,87.45,28.12,5.0,0.0,157.5,1,0,0,0,1,0.5,Synthetic
2037,Steamed Special Tuna Fillet,Protein,1 medium chicken thigh,69.74,21.18,7.12,0.35,150.2,1,0,0,0,0,0.25,Synthetic
2038,High-Protein Premium Sardines,Protein,1 egg,122.06,1.2,6.21,1.45,66.5,0,0,1,0,1,1.0,Synthetic
2039,Raw Gourmet Beef Strips,Protein,1 egg,57.64,20.95,11.36,2.07,194.3,1,0,0,0,0,0.75,Synthetic
2040,Fortified Variety Beef Steak,Protein,1 piece,105.51,22.49,5.2,0.0,136.8,1,0,0,0,0,0.25,Synthetic
2041,Unsalted Style Mackerel Fillet,Protein,1/2 small chicken breast,102.55,19.88,4.7,1.87,129.3,1,0,0,0,1,0.5,Synthetic
2042,Spiced Bahraini Salmon Fillet,Protein,1 medium chicken thigh,97.6,16.75,0.5,1.77,78.6,0,0,0,0,0,0.0,Synthetic
2043,Fortified Variety Black Beans,Protein,1 piece,50.38,22.6,10.44,0.0,184.4,1,0,0,0,1,0.25,Synthetic
2044,Whipped Arabian Cod Fillet,Protein,1/2 small chicken breast,58.89,11.75,0.5,0.0,51.5,1,0,0,0,0,1.0,Synthetic
2045,Roasted Traditional Cod Fillet,Protein,1/2 small chicken breast,41.31,24.99,10.74,1.71,203.5,1,0,0,0,0,0.5,Synthetic
2046,Fresh Special Edamame,Protein,1 egg,110.35,17.07,10.68,0.0,164.4,0,0,1,0,1,0.75,Synthetic
2047,Reduced-Fat Selection Sardines,Protein,1 piece,31.24,25.65,0.66,5.47,130.4,1,0,1,0,0,0.0,Synthetic
2048,Whole Farm-Fresh Lentils,Protein,1 medium chicken thigh,75.32,20.45,1.26,0.91,96.8,0,0,0,0,1,1.0,Synthetic
2049,Whipped Arabian Pork Tenderloin,Protein,1 piece,53.17,21.31,5.55,3.01,147.2,1,0,0,0,0,0.0,Synthetic
2050,Homemade Style Pork Tenderloin,Protein,1/2 small chicken breast,111.89,17.24,4.54,0.69,112.6,0,0,0,0,1,0.5,Synthetic
2051,Local Selection Shrimp,Protein,1 egg,75.72,8.09,6.48,0.17,91.4,0,0,0,0,0,1.0,Synthetic
2052,Steamed Farm-Fresh Cod Fillet,Protein,1 egg,62.35,22.72,4.26,2.86,140.7,0,0,0,0,1,0.5,Synthetic
2053,High-Protein Traditional Edamame,Protein,1 piece,95.68,13.56,4.33,0.0,93.2,0,0,0,0,0,0.75,Synthetic
2054,Smoked Blend Beef Strips,Protein,1/2 small chicken breast,66.26,13.85,17.4,1.19,216.8,0,0,0,0,0,0.0,Synthetic
2055,Marinated Garden Tempeh,Protein,1 egg,122.47,10.92,3.85,0.85,81.7,1,0,0,0,0,0.0,Synthetic
2056,Boiled Bahraini Shrimp,Protein,1 egg,32.8,22.12,5.19,4.12,151.7,1,0,0,0,0,1.0,Synthetic
2057,Whole Blend Salmon Fillet,Protein,Palm-sized portion,128.06,25.26,1.94,0.0,118.5,0,0,0,0,0,0.75,Synthetic
2058,Zero-Fat Arabian Egg Omelette,Protein,1 egg,67.65,3.46,0.5,0.0,18.3,0,0,0,0,1,0.5,Synthetic
2059,Enriched Selection Egg Omelette,Protein,Palm-sized portion,107.87,4.05,8.69,0.0,94.4,0,0,0,0,0,0.25,Synthetic
2060,Boiled Heritage Edamame,Protein,1 medium chicken thigh,131.49,15.85,7.06,2.28,136.1,0,0,0,0,1,0.5,Synthetic
2061,Low-Fat Mix Tofu,Protein,1 piece,104.17,11.95,4.45,1.55,94.0,1,0,0,0,0,0.5,Synthetic
2062,Organic Special Tempeh,Protein,1 medium chicken thigh,72.49,29.1,0.5,1.38,126.4,1,0,1,0,1,0.25,Synthetic
2063,Zero-Fat Selection Lamb Chop,Protein,1 piece,109.29,21.91,1.11,1.46,103.5,1,0,0,0,0,0.75,Synthetic
2064,Natural Heritage Beef Steak,Protein,1/2 small chicken breast,118.62,15.34,4.45,4.81,120.6,1,0,0,0,1,1.0,Synthetic
2065,Frozen Farm-Fresh Turkey Slices,Protein,Palm-sized portion,38.55,16.05,4.33,0.0,103.2,1,0,0,0,1,0.5,Synthetic
2066,Fortified Heritage Tempeh,Protein,Palm-sized portion,107.5,19.72,5.11,0.0,124.9,0,0,0,0,1,0.75,Synthetic
2067,Fortified Variety Chicken Breast,Protein,Palm-sized portion,119.55,27.73,2.23,0.68,133.7,0,0,0,0,1,0.75,Synthetic
2068,Fresh Garden Mackerel Fillet,Protein,Palm-sized portion,56.14,1.75,5.53,0.0,56.8,1,0,0,0,1,1.0,Synthetic
2069,Smoked Bahraini Edamame,Protein,1 medium chicken thigh,97.4,3.59,13.47,0.0,135.6,0,0,0,0,1,0.25,Synthetic
2070,Baked Medley Sardines,Protein,1/2 small chicken breast,133.14,19.43,6.64,1.6,143.9,0,0,0,0,1,0.25,Synthetic
2071,Seasonal Bahraini White Beans,Protein,1/2 small chicken breast,83.22,13.74,1.5,4.18,85.2,1,0,0,0,0,0.25,Synthetic
2072,Roasted Classic Chicken Breast,Protein,1 egg,90.1,8.38,4.25,0.0,71.8,0,0,0,0,1,0.25,Synthetic
2073,Pickled Blend Egg Omelette,Protein,1 medium chicken thigh,56.82,25.53,5.62,2.42,162.4,0,0,0,0,0,0.75,Synthetic
2074,Plain Style Lamb Chop,Protein,1 piece,77.56,19.09,2.15,0.0,95.7,0,0,0,0,1,0.75,Synthetic
2075,Steamed Classic Buckwheat,Grains,1/4 loaf,153.68,11.82,0.0,2.11,55.7,1,1,0,1,0,0.5,Synthetic
2076,Unsalted Mix Corn Tortilla,Grains,1 small slice,55.52,8.43,6.42,0.6,93.9,1,1,0,1,0,0.75,Synthetic
2077,Enriched Style Teff Porridge,Grains,1/4 loaf,158.47,3.21,8.0,37.52,234.9,1,1,0,1,0,0.0,Synthetic
2078,Lightly-Salted Premium Rye Bread,Grains,1 cup,150.84,6.91,0.0,45.91,211.3,1,1,0,1,1,1.0,Synthetic
2079,Marinated Arabian Quinoa,Grains,1/4 loaf,138.21,15.43,0.0,0.6,64.1,1,1,1,1,0,0.5,Synthetic
2080,Cold-Pressed Medley Whole Grain Crackers,Grains,1 medium roll,26.01,1.46,0.51,22.74,101.4,1,1,0,1,0,0.0,Synthetic
2081,Natural Original Polenta,Grains,1 medium roll,181.82,0.89,0.0,65.59,265.9,1,1,0,1,0,0.25,Synthetic
2082,Extra-Virgin Arabian Spelt Bread,Grains,1/2 cup,52.95,3.03,2.66,44.61,214.5,1,1,0,1,0,0.5,Synthetic
2083,Whole Style Oatmeal,Grains,1/3 cup,153.77,2.28,0.0,63.3,262.3,0,1,0,1,0,0.75,Synthetic
2084,Lightly-Salted Gourmet Bulgur,Grains,1 medium roll,16.8,1.7,0.5,13.77,66.4,1,1,1,1,1,0.5,Synthetic
2085,Organic Bahraini Buckwheat,Grains,1 small slice,47.23,4.16,1.91,38.8,189.0,0,1,0,1,0,0.75,Synthetic
2086,Marinated Style Whole Wheat Bread,Grains,1 small slice,46.5,5.81,1.39,39.11,192.2,1,1,0,1,0,1.0,Synthetic
2087,Boiled Heritage Teff Porridge,Grains,1/3 cup,22.09,4.87,0.81,0.6,29.2,1,1,1,1,0,0.25,Synthetic
2088,Whipped Traditional Couscous,Grains,1 slice,18.27,1.37,3.77,12.22,88.3,1,0,0,1,0,0.25,Synthetic
2089,Boiled Variety Millet Porridge,Grains,1 cup,100.51,7.64,5.16,14.65,135.6,1,1,0,1,0,0.0,Synthetic
2090,Pickled Selection Rye Bread,Grains,1/4 loaf,70.81,2.22,3.07,49.16,233.1,1,0,0,1,0,0.75,Synthetic
2091,Extra-Virgin Premium Farro,Grains,1 cup,32.41,1.66,1.6,27.52,131.1,1,1,1,1,0,0.0,Synthetic
2092,Whole Farm-Fresh Barley,Grains,1 small slice,5.0,4.4,0.0,0.35,19.0,1,1,0,1,0,0.0,Synthetic
2093,Grilled Blend Whole Grain Crackers,Grains,1 cup,203.35,4.87,2.27,13.0,91.9,1,1,1,1,0,0.5,Synthetic
2094,Low-Fat Variety Spelt Bread,Grains,1 medium roll,5.0,1.21,0.26,3.29,20.3,1,1,0,1,0,0.25,Synthetic
2095,Whipped Bahraini Rice Cake,Grains,1/2 cup,85.09,4.22,7.29,64.65,341.1,1,1,0,1,0,0.25,Synthetic
2096,Organic Gourmet Barley,Grains,1 cup,26.48,5.53,0.0,19.62,100.6,1,1,0,1,1,0.5,Synthetic
2097,Enriched Style Rye Bread,Grains,1/4 loaf,85.69,4.58,2.47,44.32,217.8,1,1,0,1,0,0.5,Synthetic
2098,Unsalted Garden Corn Tortilla,Grains,1/4 loaf,78.5,0.0,2.78,56.02,249.1,1,0,0,1,0,0.75,Synthetic
2099,Dried Mix Barley,Grains,1/2 cup,5.0,0.0,0.0,4.75,19.0,1,1,0,1,0,0.25,Synthetic
2100,Unsalted Wild Whole Grain Crackers,Grains,1/3 cup,36.73,5.11,4.1,25.68,160.1,0,1,1,1,0,0.25,Synthetic
2101,Spiced Classic Teff Porridge,Grains,1/4 loaf,14.58,4.01,0.0,1.07,20.3,1,1,0,1,0,0.75,Synthetic
2102,Steamed Variety Barley,Grains,1 slice,112.98,0.0,6.69,32.26,189.2,1,1,0,1,0,0.0,Synthetic
2103,Baked Special Polenta,Grains,1/2 cup,139.1,9.86,4.37,0.6,81.2,1,1,0,1,0,0.75,Synthetic
2104,Extra-Virgin Selection Millet Porridge,Grains,1 slice,82.77,13.16,10.18,0.6,146.7,1,1,0,1,0,0.5,Synthetic
2105,Premium Original Whole Grain Crackers,Grains,1/4 loaf,142.65,7.97,4.91,0.6,78.5,1,1,0,1,0,1.0,Synthetic
2106,Low-Fat Blend Teff Porridge,Grains,1 slice,149.93,12.3,3.0,16.74,143.2,1,1,0,1,0,0.0,Synthetic
2107,Homemade Gourmet Spelt Bread,Grains,1/4 loaf,123.69,9.79,3.48,0.6,72.9,1,1,1,1,0,0.75,Synthetic
2108,High-Protein Style Couscous,Grains,1 slice,44.55,7.61,1.58,0.6,47.1,1,1,0,1,0,1.0,Synthetic
2109,Spiced Variety Brown Rice,Grains,1 cup,133.62,6.84,0.0,0.6,29.8,1,1,0,1,0,0.5,Synthetic
2110,Local Style Rice Cake,Grains,1 slice,38.89,1.84,6.41,23.44,158.8,1,1,0,1,0,0.25,Synthetic
2111,Cold-Pressed Special Couscous,Grains,1 medium roll,69.62,4.4,4.46,0.6,60.1,1,1,0,1,0,0.75,Synthetic
2112,Homemade Selection Oatmeal,Grains,1/4 loaf,5.0,0.0,0.28,4.47,20.4,1,1,0,1,0,0.5,Synthetic
2113,Lightly-Salted Original Millet Porridge,Grains,1/2 cup,22.99,4.92,3.21,13.71,103.4,1,1,0,1,0,0.75,Synthetic
2114,Extra-Virgin Premium Teff Porridge,Grains,1/3 cup,65.37,1.71,2.95,26.09,137.8,1,1,1,1,0,0.25,Synthetic
2115,Low-Fat Medley Spelt Bread,Grains,1 cup,78.57,0.34,3.04,61.16,273.4,1,1,0,1,0,1.0,Synthetic
2116,Organic Original Barley,Grains,1 small slice,168.58,14.55,0.17,14.42,117.4,1,1,0,1,0,1.0,Synthetic
2117,Enriched Gourmet Barley,Grains,1 slice,215.55,15.0,6.58,16.48,185.1,0,1,1,1,0,0.25,Synthetic
2118,Premium Classic Buckwheat,Grains,1 medium roll,29.36,0.99,3.89,23.01,131.0,1,1,0,1,0,0.75,Synthetic
2119,Sun-Dried Wild Teff Porridge,Grains,1 medium roll,30.59,6.7,0.18,22.18,117.1,1,1,1,1,0,1.0,Synthetic
2120,Smoked Garden Quinoa,Grains,1/2 cup,170.68,0.12,1.76,91.68,383.0,1,1,0,1,0,0.5,Synthetic
2121,Seasonal Blend Teff Porridge,Grains,1/3 cup,174.23,5.3,4.62,27.71,173.6,0,1,0,1,0,0.75,Synthetic
2122,Dried Blend Bulgur,Grains,1/2 cup,28.06,7.53,0.0,14.95,89.9,1,1,0,1,0,0.5,Synthetic
2123,Local Farm-Fresh Bulgur,Grains,1 cup,28.98,1.49,1.39,24.65,117.1,0,1,0,1,0,0.75,Synthetic
2124,Sun-Dried Mix Whole Wheat Bread,Grains,1/3 cup,129.89,2.59,5.11,27.74,167.3,1,1,0,1,0,0.0,Synthetic
2125,Grilled Blend Teff Porridge,Grains,1/3 cup,192.61,0.0,0.64,28.56,120.0,1,1,1,1,0,0.75,Synthetic
2126,Local Mix Whole Grain Crackers,Grains,1 cup,136.78,0.0,0.0,111.48,445.9,1,1,0,1,0,0.0,Synthetic
2127,Seasonal Classic Brown Rice,Grains,1 slice,147.3,11.92,1.73,30.39,184.8,1,1,0,1,0,0.25,Synthetic
2128,Pickled Original Rye Bread,Grains,1/3 cup,140.99,0.0,3.42,8.69,65.5,1,1,1,1,0,0.25,Synthetic
2129,Smoked Farm-Fresh Rice Cake,Grains,1 small slice,78.49,1.05,4.28,42.64,213.3,1,1,0,1,0,0.5,Synthetic
2130,Premium Style Rye Bread,Grains,1/4 loaf,76.07,4.37,0.63,0.6,25.5,1,1,1,1,0,0.0,Synthetic
2131,Spiced Wild Brown Rice,Grains,1 small slice,84.59,7.47,0.0,64.01,285.9,1,1,0,1,1,0.0,Synthetic
2132,Whole Garden Rye Bread,Grains,1 medium roll,49.21,2.64,1.12,42.99,192.6,1,1,0,1,0,0.5,Synthetic
2133,Baked Original Millet Porridge,Grains,1/3 cup,140.98,5.57,0.0,33.34,155.6,1,1,0,1,0,0.25,Synthetic
2134,Lightly-Salted Traditional Teff Porridge,Grains,1/4 loaf,183.25,4.02,0.7,25.68,125.1,0,1,0,0,0,0.75,Synthetic
2135,Steamed Heritage Millet Porridge,Grains,1/2 cup,100.29,3.73,5.31,74.92,362.4,0,1,0,1,0,0.75,Synthetic
2136,Natural Variety Whole Wheat Bread,Grains,1/2 cup,111.18,4.91,0.0,85.66,362.3,1,1,0,1,0,0.5,Synthetic
2137,Fresh Medley Brown Rice,Grains,1/2 cup,138.63,6.74,2.12,7.13,74.6,1,1,0,1,0,0.75,Synthetic
2138,Fortified Variety Whole Wheat Bread,Grains,1/2 cup,5.0,0.06,0.0,4.69,19.0,1,1,0,1,0,0.75,Synthetic
2139,Local Bahraini Spelt Bread,Grains,1/2 cup,234.0,6.6,0.0,0.6,28.8,1,1,0,1,0,0.25,Synthetic
2140,Herb-Infused Heritage Millet Porridge,Grains,1 cup,77.5,4.85,0.0,0.6,21.8,1,1,1,1,0,0.5,Synthetic
2141,Enriched Blend Teff Porridge,Grains,1 slice,56.34,0.0,3.76,13.28,87.0,1,1,0,1,0,1.0,Synthetic
2142,Smoked Mix Bulgur,Grains,1/4 loaf,189.12,11.16,0.0,44.61,223.1,1,1,1,1,0,0.25,Synthetic
2143,Grilled Premium Amaranth,Grains,1/2 cup,93.62,9.2,1.0,36.99,193.8,1,1,0,1,0,0.25,Synthetic
2144,Herb-Infused Style Rice Cake,Grains,1 cup,92.14,13.67,0.44,41.29,223.8,1,1,0,1,0,0.0,Synthetic
2145,Baked Bahraini Polenta,Grains,1 slice,187.94,9.71,3.58,36.41,216.7,1,1,0,1,0,0.75,Synthetic
2146,Unsalted Blend Whole Grain Crackers,Grains,1 small slice,88.91,6.88,2.48,59.53,288.0,1,1,0,1,0,0.25,Synthetic
2147,Reduced-Fat Style Teff Porridge,Grains,1 slice,98.12,5.67,6.75,14.04,139.6,1,1,0,1,0,0.75,Synthetic
2148,Plain Garden Oatmeal,Grains,1/3 cup,87.58,3.28,1.86,78.06,342.1,1,1,0,1,0,1.0,Synthetic
2149,Sun-Dried Arabian Spelt Bread,Grains,1 slice,5.0,2.62,1.76,0.38,27.8,1,1,1,1,0,0.25,Synthetic
2150,Baked Arabian Rye Bread,Grains,1/4 loaf,31.42,5.26,3.87,20.72,138.8,1,1,0,1,0,0.5,Synthetic
2151,High-Protein Gourmet Pasta,Grains,1/3 cup,42.05,8.25,4.18,21.23,155.5,1,1,0,1,0,0.25,Synthetic
2152,Lightly-Salted Heritage Amaranth,Grains,1/4 loaf,41.47,3.87,1.52,34.01,165.2,1,1,1,1,0,1.0,Synthetic
2153,Natural Original Farro,Grains,1 cup,103.55,2.8,1.13,33.05,153.6,1,1,0,1,0,0.75,Synthetic
2154,Raw Gourmet Whole Wheat Bread,Grains,1 slice,39.83,9.24,9.89,18.28,199.1,1,1,1,0,0,0.0,Synthetic
2155,Frozen Traditional Bulgur,Grains,1/3 cup,69.17,0.0,7.3,40.33,227.0,1,1,1,1,0,0.5,Synthetic
2156,Boiled Arabian Bulgur,Grains,1/4 loaf,174.19,1.06,0.0,37.78,155.4,1,1,0,1,0,0.75,Synthetic
2157,Reduced-Fat Blend Amaranth,Grains,1/2 cup,72.92,5.53,1.97,45.46,221.7,1,1,0,1,0,0.5,Synthetic
2158,Seasonal Arabian Spelt Bread,Grains,1/2 cup,55.59,6.35,8.02,38.44,251.3,1,1,0,1,0,0.75,Synthetic
2159,Plain Selection Quinoa,Grains,1/2 cup,24.03,0.0,0.78,22.05,95.2,1,1,0,0,0,0.75,Synthetic
2160,Roasted Garden Pasta,Grains,1 small slice,154.08,9.41,0.0,30.19,158.4,0,1,0,1,0,0.25,Synthetic
2161,Whole Mix Bulgur,Grains,1/3 cup,201.39,8.53,1.35,23.99,142.2,0,1,1,0,0,1.0,Synthetic
2162,Marinated Classic Millet Porridge,Grains,1 cup,91.46,7.91,0.0,67.0,299.6,1,1,0,1,0,1.0,Synthetic
2163,Zero-Fat Special Whole Wheat Bread,Grains,1 slice,217.74,6.33,0.92,87.89,385.2,1,0,0,1,0,0.0,Synthetic
2164,Plain Wild Whole Grain Crackers,Grains,1/2 cup,123.39,7.44,0.0,109.18,466.5,1,1,0,1,0,0.75,Synthetic
2165,Smoked Premium Buckwheat,Grains,1 cup,70.33,18.08,0.07,23.39,166.5,1,1,0,1,0,0.25,Synthetic
2166,Herb-Infused Special Barley,Grains,1 slice,151.46,0.0,7.47,0.6,69.6,1,1,0,1,0,0.25,Synthetic
2167,Homemade Gourmet Bulgur,Grains,1/3 cup,5.0,0.59,0.41,3.76,21.1,1,1,0,1,0,0.25,Synthetic
2168,Extra-Virgin Mix Whole Wheat Bread,Grains,1/2 cup,5.0,4.5,0.0,0.6,20.4,1,1,1,1,0,0.0,Synthetic
2169,Fortified Original Barley,Grains,1 medium roll,164.79,12.87,1.64,79.68,385.0,1,1,1,1,0,0.75,Synthetic
2170,Herb-Infused Wild Sorghum,Grains,1/3 cup,51.59,7.19,3.1,31.56,182.9,1,1,0,1,0,1.0,Synthetic
2171,Premium Classic Brown Rice,Grains,1 slice,5.0,0.0,1.06,0.6,11.9,1,1,0,1,0,1.0,Synthetic
2172,Pickled Original Corn Tortilla,Grains,1/4 loaf,5.0,0.52,0.09,4.15,19.5,1,0,0,1,0,0.75,Synthetic
2173,Extra-Virgin Style Spelt Bread,Grains,1/2 cup,49.38,2.42,4.57,29.84,170.2,1,1,0,1,1,0.0,Synthetic
2174,Sun-Dried Premium Corn Tortilla,Grains,1/3 cup,16.26,8.8,4.27,3.2,86.4,1,1,1,1,1,1.0,Synthetic
2175,Plain Medley Amaranth,Grains,1 medium roll,148.25,4.42,0.0,68.62,292.2,0,1,0,1,0,0.25,Synthetic
2176,Lightly-Salted Medley Whole Grain Crackers,Grains,1 slice,75.28,0.0,0.0,18.38,73.5,0,1,0,1,0,0.5,Synthetic
2177,Whipped Gourmet Couscous,Grains,1 medium roll,72.29,7.68,4.02,3.24,79.9,1,1,1,1,0,0.75,Synthetic
2178,Frozen Original Buckwheat,Grains,1 slice,5.0,0.72,0.27,3.75,20.3,1,1,0,1,0,1.0,Synthetic
2179,Marinated Selection Millet Porridge,Grains,1/4 loaf,183.04,1.06,0.0,103.73,419.2,1,1,0,1,0,0.25,Synthetic
2180,Raw Gourmet Buckwheat,Grains,1/4 loaf,96.01,0.0,5.56,0.6,52.4,1,1,0,1,0,0.75,Synthetic
2181,Extra-Virgin Mix Quinoa,Grains,1/4 loaf,5.0,1.07,0.8,2.87,23.0,1,1,0,1,0,0.75,Synthetic
2182,Steamed Original Rye Bread,Grains,1 small slice,5.0,0.15,0.11,4.5,19.6,1,1,0,1,0,1.0,Synthetic
2183,Cold-Pressed Style Quinoa,Grains,1/3 cup,78.09,18.17,2.54,28.5,209.5,1,1,0,1,0,0.75,Synthetic
2184,Reduced-Fat Traditional Couscous,Grains,1 slice,156.78,13.38,2.41,48.93,270.9,1,1,1,1,0,1.0,Synthetic
2185,Fresh Mix Sorghum,Grains,1 small slice,50.61,0.0,0.0,39.65,158.6,1,1,0,1,0,0.0,Synthetic
2186,Lightly-Salted Bahraini Spelt Bread,Grains,1 cup,5.0,0.51,0.19,4.05,19.9,1,1,1,1,0,0.25,Synthetic
2187,Smoked Gourmet Whole Wheat Bread,Grains,1/3 cup,38.75,3.41,1.04,32.36,152.4,1,1,1,1,0,0.5,Synthetic
2188,High-Protein Special Sorghum,Grains,1 cup,84.98,0.0,1.82,57.85,247.8,1,1,0,1,0,0.25,Synthetic
2189,Unsalted Style Millet Porridge,Grains,1 slice,96.5,7.8,0.0,11.13,75.7,1,1,0,1,0,1.0,Synthetic
2190,Natural Gourmet Oatmeal,Grains,1 cup,118.09,7.57,4.48,2.34,80.0,1,1,0,1,0,0.5,Synthetic
2191,Dried Style Teff Porridge,Grains,1/3 cup,126.65,11.91,0.0,101.83,455.0,1,1,0,1,0,0.75,Synthetic
2192,Baked Premium Couscous,Grains,1 cup,13.54,0.65,1.32,10.89,58.0,1,0,0,1,0,0.0,Synthetic
2193,Herb-Infused Classic Polenta,Grains,1 medium roll,5.0,4.55,0.0,0.6,20.6,1,1,1,1,0,1.0,Synthetic
2194,Zero-Fat Special Teff Porridge,Grains,1/2 cup,113.48,0.0,0.0,68.96,275.8,1,1,0,1,0,0.0,Synthetic
2195,Reduced-Fat Classic Pasta,Grains,1 medium roll,39.52,7.67,0.0,29.87,150.2,1,1,0,1,0,0.5,Synthetic
2196,Premium Special Oatmeal,Grains,1/4 loaf,5.0,0.0,3.65,0.6,35.2,1,1,1,1,0,1.0,Synthetic
2197,Baked Style Bulgur,Grains,1/4 loaf,28.63,0.95,1.29,24.96,115.2,0,1,0,1,0,0.75,Synthetic
2198,Pickled Premium Pasta,Grains,1/3 cup,5.0,1.2,0.26,3.29,20.3,1,1,0,1,0,0.25,Synthetic
2199,Dried Mix Amaranth,Grains,1 cup,90.12,1.88,0.0,8.9,43.1,1,1,1,1,1,1.0,Synthetic
